Date;Slide;Scene;Biopsy;Labmember;Experiment;Staining;Converted;Focus;Remarks
2000_05_23;1;1;8558;Friederike;Test;PAS;;yes;
2000_05_23;1;2;8675;Friederike;Test;PAS;;yes;
2000_05_23;1;3;8559;Friederike;Test;PAS;;yes;
2000_05_23;1;4;8676;Friederike;Test;PAS;;yes;
2000_05_23;1;5;8566;Friederike;Test;PAS;;yes;
2000_05_23;1;6;8683;Friederike;Test;PAS;;yes;
2000_05_23;2;1;8564;Friederike;Test;PAS;;yes;
2000_05_23;2;2;8681;Friederike;Test;PAS;;yes;
2000_05_23;2;3;8565;Friederike;Test;PAS;;yes;
2000_05_23;2;4;8682;Friederike;Test;PAS;;yes;
2000_05_23;2;5;8569;Friederike;Test;PAS;;yes;
2000_05_23;2;6;8686;Friederike;Test;PAS;;yes;
2000_05_02;1;1;8995;Friederike;Test;IF;;yes;
2000_05_02;1;2;8996;Friederike;Test;IF;;yes;
2000_05_02;1;3;8997;Friederike;Test;IF;;yes;
2000_05_02;1;4;8998;Friederike;Test;IF;;yes;
2000_05_02;1;5;8994;Friederike;Test;IF;;yes;
2000_05_02;1;6;8999;Friederike;Test;IF;;yes;
2000_05_02;2;1;8988;Friederike;Test;IF;;yes;
2000_05_02;2;2;8989;Friederike;Test;IF;;yes;
2000_05_02;2;3;8992;Friederike;Test;IF;;yes;
2000_05_02;2;4;8993;Friederike;Test;IF;;yes;
2000_05_02;2;5;8990;Friederike;Test;IF;;yes;
2000_05_02;2;6;8990-2;Friederike;Test;IF;;yes;
